,LocatiePostcode,Soort aanvraagOmschrijvingKadastrale aanduiding,BVnummer,DatumBinnenkomst,Einddatum  ,EindStatus
30,Lorentzkade 142313GB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureinterne wijzigingM 07515G0000,140414,16-04-2014,06-05-2014,Verleend
31,Luchtmansplein 2332PP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een boekenhuisjeX 04293,140851,24-04-2014,01-05-2014,Verleend
32,Maredijk 282316VM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw van woning naar kamergewijze verhuurL 02190G0000,140151,17-01-2014,02-05-2014,Verleend
33,Nieuw Leyden Veld 25 ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouwen van 18 woningen ontgraven voor fundatie-aanlegK 05527,140612,25-03-2014,25-04-2014,Verleend
34,Nieuwe Rijn 72312JB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevernieuwen etalagepui,140916,06-05-2014,26-06-2014,Verleend
35,Nieuwe Rijn 462312JG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureafbouwen van het casco en het maken van twee kamers en drie woningen  Nieuwe Rijn 46/ Hartesteeg 3H 00276,140874,30-04-2014,17-06-2014,Niet ontvankelijk
36,Obrechtstraat 42324VN,"Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurebrandveilig gebruik schoolgebouw ""Weerklank""O 02264G0000",131737,30-09-2013,06-05-2014,Verleend
37,Oude Rijn 1002312HJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen van de indelingH 00663G0000,140912,29-04-2014,19-06-2014,Niet ontvankelijk
38,Oude Vest 772312XT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurehet inrichten van een bouwplaats,140902,02-05-2014,07-05-2014,Afgehandeld
39,Pieterskerk-Choorsteeg 192311TR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerealiseren woning op de eerste verdiepingG 01396G0000,140217,03-02-2014,30-04-2014,Verleend
40,Rapenburg 1062311GB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureschilderwerk gevels,140884,01-05-2014,26-06-2014,Verleend
41,Stoelenmatterstraat 212334GK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een woonwagenP 02881,140748,14-04-2014,02-05-2014,Verleend
42,Stoelenmatterstraat 232334GK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een woonwagenP 02881,140821,23-04-2014,02-05-2014,Verleend
43,Stoelenmatterstraat 252334GK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een woonwagenP 02881,140747,14-04-2014,02-05-2014,Verleend
44,Stoelenmatterstraat 332334GK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een woonwagenP 02881,140605,24-03-2014,02-05-2014,Verleend
45,Timorstraat 2315BL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw gebouw tot twee woningen  achter nr. 21N 01274,140878,01-05-2014,07-08-2014,Verleend
46,Tunicaduin 2318XE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van 23 lindebomenA 04331,140500,11-03-2014,02-05-2014,Verleend
47,Turfmarkt 62312CE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen kozijnenH 02855G0000,140888,01-05-2014,24-06-2014,Verleend
48,Turfmarkt 82312CE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevergroten doorbraakH 04260G0000,140897,01-05-2014,24-06-2014,Verleend
49,Uiterstegracht 1B2312TB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbreiden woongebouw met een kapverdieping voor extra woning,140152,27-01-2014,02-05-2014,Verleend
50,Verbeekstraat 22332CA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureaanpassen betonnen gevelelementen,140882,01-05-2014,07-05-2014,Afgehandeld
51,Vitruviusstraat 1062314CW,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduremaken dakopbouw op dakterrasT 06821G0000,140898,01-05-2014,26-06-2014,Verleend
52,Vlietweg 66F2323LE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedure(tuinnr. 84)  plaatsen van een serre en een windscherm,140890,30-04-2014,11-08-2014,Vervallen
53,Vlietweg 66T2323LE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedure(Wilgenpad tuinnr. 12) plaatsen van een kas,140501,10-03-2014,01-05-2014,Verleend
54,Vlietweg 66T2323LE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedure(Wilgenpad tuinnr. 8)  plaatsen van een blokhut,140507,07-03-2014,01-05-2014,Verleend
55,Vlietweg 66T2323LE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedure(tuinnr. H12)  plaatsen van een blokhut,140887,30-04-2014,24-06-2014,Verleend
56,Vlietweg 66T2323LE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedure(tuinnr. W78)  plaatsen van een tuinhuis,140889,30-04-2014,24-06-2014,Verleend
57,Vlietweg 66T2323LE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedure(tuinnr. 17a)  plaatsen van een schuur,140891,30-04-2014,24-06-2014,Verleend
58,Vlietweg 66T2323LE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedure(tuinnr. W3)  plaatsen van een tuinhuis,140893,30-04-2014,24-06-2014,Verleend
59,Vlietweg 68A2323LE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedure(tuinnr. 78)  plaatsen luifel aan tuinhuisV 02232G0000,140528,10-03-2014,01-05-2014,Verleend
60,Zijlsingel 312315KD,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerealiseren van een uitbouw aan de achterzijde van de woning.K 05961G0000,140154,27-01-2014,01-05-2014,Verleend
0,Aalmarkt 222311ED,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen gevelreclameG 01924G0000,140587,20-03-2014,08-07-2014,Verleend
1,Balistraat 582315BW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een dakkapel aan de voorzijde van de woningN 01530G0000,140861,29-04-2014,23-06-2014,Verleend
2,Bargelaan 1802333CW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van reclame,140824,23-04-2014,18-06-2014,Verleend
3,Bethlehemshof 12311KC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureschilderen van de gevels  ramen en deurenE 00676G0000,140477,03-03-2014,28-04-2014,Verleend
4,Botermarkt 102311EM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van gevelreclameG 02353A0001,140854,28-04-2014,25-06-2014,Verleend
5,Breestraat 18A2311CR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw twee kantoren op de 1e verdieping naar twee appartementen,140867,29-04-2014,23-06-2014,Verleend
6,Buys Ballotstraat 532313TW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen uitbouw aan de achterzijde van de woningM 05739G0000,140849,28-04-2014,23-06-2014,Verleend
7,Dijkhoflaan 1392331AW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen nieuw hekwerk voor vergroten dakterrasW 05521A0003,140368,20-02-2014,24-04-2014,Verleend
8,Doezastraat 23A2311GZ,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduredichtmaken binnenplaatsE 01757G0000,140194,31-01-2014,25-04-2014,Verleend
9,Frans van Mierisstraat 332316AL,Onttrekkingaanvraag onttrekkingsvergunning samenvoegen boven en benedenwoningK 05908A0001,140784,10-04-2014,29-04-2014,Verleend
10,Gerrit Doustraat 1A2311XM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurestucen van de zijgevelM 03675G0000,131950,03-11-2013,25-04-2014,Verleend
11,Groenhovenstraat 32311BT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenoveren van de kozijnenM 08626G0000,140841,25-04-2014,06-05-2014,Afgehandeld
12,Groenhovenstraat 92311BT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenoveren van de kozijnenM 03024G0000,140842,25-04-2014,06-05-2014,Afgehandeld
13,Haagweg 2342324NB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerealiseren aanbouw met kelder en kap en plaatsen zonnepanelen kappen van 1 denO 02244G0000,132297,18-12-2013,29-04-2014,Verleend
14,Haarlemmerweg 57A2316AE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbreiding woning met dakopbouw en dakterrasK 03972G0000,140367,19-02-2014,29-04-2014,Verleend
15,Haven 562312ML,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw pand tot zes appartementenC 00009G0000,140863,29-04-2014,07-10-2014,Verleend
16,Herengracht 372312LB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureontmanteling niet monumentale onderdelenC 02115D0002,140843,25-04-2014,09-05-2014,Afgehandeld
17,Hof van Roomburgh 102314ZB,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurerenovatiewerkzaamheden van het bestaande wooncomplex met medisch centrum en 36 (aanleun)woningen en nieuwbouw van een atrium en woongebouw met 40 (aanleun)woningen,140828,24-04-2014,23-06-2015,Verleend
18,Hooglandse Kerkgracht 2312HS,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduretijdelijk plaatsen van 9 beeldhouwwerken (kunst)I 02691,140859,29-04-2014,03-06-2014,Niet ontvankelijk
19,Hooglandse Kerkgracht 42312HT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurediv. wijzigingen t.o.v. verleende vergunningen aan de gevels  plaatsen (boot)steiger  plaatsen balkon  uitwerking hekwerken  wijziging indeling appartement 13I 03411A0004,140085,16-01-2014,29-04-2014,Verleend
20,Houtlaan 1002334CL,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduretijdelijk gebruik park als evenemententerrein  juni 2014 (Summerjazz)P 03240G0000,140833,25-04-2014,25-06-2014,Vervallen
21,Kanaalweg 2313DS,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurewijzigen in- en uitrit  kappen van 4 bomen en wijzigen gebruik van groen naar verkeerO 04442,140860,29-04-2014,26-09-2014,Verleend
22,Kloksteeg 62311SL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureschilderen houtwerk voorgevelG 00544G0000,140857,29-04-2014,03-06-2014,Verleend
23,Kloosterpoort 42312EM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen hekwerk  herinrichting terrein en slopen tuinmurenI 02998,140853,28-04-2014,06-06-2014,Verleend
24,Kooiplein ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurehet plaatsen van een tijdelijke huisvesting voor Kringapotheek De Kooi op het Kooiplein t.h.v. Surinamestraat 1K 05964,140831,24-04-2014,14-05-2014,Verleend
25,Kort Rapenburg 22311GC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurereconstructie historische winkelpuiG 01594G0000,140838,25-04-2014,28-05-2014,Verleend
26,Lederkarper 52318NB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een dakkapel aan de voorzijdeS 02838G0000,140433,28-02-2014,25-04-2014,Verleend
27,Luchtmansplein 2332PP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een boekenhuisjeX 04293,140851,24-04-2014,01-05-2014,Verleend
28,Maresingel 752316HE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen voorgevelK 02794G0000,140785,16-04-2014,17-06-2014,Verleend
29,Melchior Treublaan 242313VG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel aan de achterzijde van de woningQ 00917G0000,140819,22-04-2014,23-05-2014,Niet ontvankelijk
30,Nieuwsteeg 172311RX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenovatie woningG 01296G0000,140400,25-02-2014,25-04-2014,Verleend
31,Oosthavenstraat 1a,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel aan de achterzijde woningC 02112,140014,03-01-2014,25-04-2014,Verleend
32,Oude Singel 86AB2312RD,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduresamenvoegen woningenB 03669G0000,132140,20-02-2014,28-04-2014,Verleend
33,Oude Singel 1002312RE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerestauratie van het dakB 01016G0000,140840,25-04-2014,17-06-2014,Verleend
34,Park die Leythe 32314BA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van dakkapel op voordakvlakT 05911G0000,140618,24-03-2014,23-04-2014,Verleend
35,Park die Leythe 92314BA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerealiseren van een uitbouw aan de achter- en zijgevelT 05908G0000,131756,28-02-2014,25-04-2014,Verleend
36,Rijn en Schiekade 482311AL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een dakkapel en dakramenM 01361G0000,140515,12-03-2014,25-04-2014,Verleend
37,Rijnsburgerweg 352334BE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureveranderen van de tuinmuur gelegen aan het voor- en zijerfP 03365G0000,140830,24-04-2014,12-06-2014,Vervallen
38,Stoelenmatterstraat 232334GK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een woonwagenP 02881,140821,23-04-2014,02-05-2014,Verleend
39,Trekvaartplein 2334GA,Omgevingsvergunning Omgevingsvergunning Uitgebreide Proceduretijdelijk plaatsen van een woonwagenP 02882,140866,29-04-2014,16-10-2014,Verleend
40,Vitruviusstraat 1942314CW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureoverkappen van dakterrasT 06800G0000,140837,22-04-2014,19-05-2014,Vervallen
41,Vuurbloem 212317LN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel aan de voorzijde van de woningS 01659G0000,140099,20-01-2014,28-04-2014,Verleend
42,Wasstraat 552313JH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een afdak voor fietsenM 04316G0000,140855,28-04-2014,02-06-2014,Verleend
43,Witte Singel 1032313AA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevervangen stucwerk  drietal ramen en kozijnen 1e verdieping en schilderwerkM 08780G0000,140610,25-03-2014,13-06-2014,Verleend
44,Zeemanlaan 342313SZ,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduremoderniseren woningM 05807G0000,140333,15-02-2014,23-04-2014,Verleend
45,Zoeterwoudseweg 9C2321GL,Ligplaatsvergunninginnemen van een ligplaats met een woonschip,140850,25-04-2014,12-02-2015,Afgehandeld
0,Admiraal Helfrichweg 72315VC,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedureuitbreiding bedrijfsgebouw met een appartement op de verdiepingN 01747G0000,140802,17-04-2014,19-12-2014,Weigering
1,Besjeslaan 2A2314AZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouwen van tuindersloods tot scoutinggebouw en plaatsen vlaggenmastT 06113D0001,131977,06-11-2013,22-04-2014,Verleend
2,Botermarkt 232311EN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen van de  gevelQ 00282,140795,17-04-2014,04-07-2014,Verleend
3,Breestraat 1222311CX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen van de gevelG 02304A0001,140776,16-04-2014,02-06-2014,Verleend
4,C Kok-van Alphenstr 262331NK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen dakkapel in het voordakvlak van de woningW 05299G0000,132124,25-11-2013,17-04-2014,Verleend
5,Evertsenstraat 752315SK,Onttrekkingaanvraag onttrekkingsvergunning wijzigen woning naar kamergewijze verhuur (4 kamers),140823,23-04-2014,25-11-2014,Verleend
6,Frans van Mierisstraat 332316AL,Onttrekkingaanvraag onttrekkingsvergunning samenvoegen boven en benedenwoningK 05908A0001,140784,10-04-2014,29-04-2014,Verleend
7,Groenesteeg 1262312SR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerestaureren van de graven,140392,25-02-2014,16-04-2014,Verleend
8,Haarlemmerstraat 22312GA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen van de winkelpui,140775,15-04-2014,10-06-2014,Vervallen
9,Havenkade 22312RT,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduremaken dakterras en overdekken van binnenplaatsC 01822G0000,140517,18-04-2014,12-06-2014,Verleend
10,Hoge Rijndijk 1142313KM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouw winkel tot woning,140808,21-04-2014,02-05-2014,Vervallen
11,Hugo de Vriesstraat 532313RG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een dakkapel aan de voorzijde van de woningM 05603G0000,140143,26-01-2014,17-04-2014,Verleend
12,Joop Vervoornpad ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen verbindingsbrug  kappen van 60 bomen en uitvoeren van graafwerkzaamhedenN 02142,140794,17-04-2014,27-05-2014,Verleend
13,Kraaienhorst 12317AA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenovatie woningen Kraaienhorst 1 t/m 31S 04188,140777,16-04-2014,11-06-2014,Verleend
14,Lange Mare 862312GT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerestaureren voor- en zijgevel,140798,17-04-2014,07-08-2014,Verleend
15,Le Pooleweg 212314XT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van reclame op de gevelT 06251G0000,140557,18-03-2014,11-06-2014,Verleend
16,Lorentzkade 142313GB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureinterne wijzigingM 07515G0000,140414,16-04-2014,06-05-2014,Verleend
17,Maredijk 13D2316VR,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen aanlegsteigerL 01548G0000,140054,12-01-2014,17-04-2014,Verleend
18,Maresingel 752316HE,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen voorgevelK 02794G0000,140785,16-04-2014,17-06-2014,Verleend
19,Oude Rijn 1842312HM,Omgevingsvergunning Omgevingsvergunning Reguliere ProcedurePlaatsen dakkapel  restaureren en gedeeltelijk herindelen wevershuisjeH 02148G0000,140809,22-04-2014,03-06-2014,Verleend
20,Reigerhorst 12317ZV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenovatie woningen Reigerhorst 1 t/m 35S 04207,140781,16-04-2014,11-06-2014,Verleend
21,Roekenplaats 142317WZ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een dakopbouwS 03904G0000,132333,24-12-2013,17-11-2015,Ingetrokken
22,Rollemanstraat 82334GL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverplaatsen technische ruimteP 02881,140778,16-04-2014,11-06-2014,Verleend
23,Roodborststraat 152333VM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen kozijn voorgevelR 00852G0000,140797,17-04-2014,27-05-2014,Niet ontvankelijk
24,Saffraantuin 232317MS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen schuur aan de voorzijde van de woningS 03528G0000,140807,21-04-2014,23-05-2014,Niet ontvankelijk
25,Schipholweg 552316ZL,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurehet realiseren van een dakterras op bestaande dakvlak van de 7e verdieping en wijzigen gevel,132174,18-02-2014,16-04-2014,Verleend
26,Smellekenhorst 12317ZX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenovatie woningen Smellekenhorst 1 t/m 35S 04209,140779,16-04-2014,11-06-2014,Verleend
27,Steenschuur 252311ES,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureinterne verbouwingG 02010,140791,16-04-2014,20-05-2014,Verleend
28,Stoelenmatterstraat 182334GK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverplaatsen van een woonwagenP 02881,140511,11-03-2014,17-04-2014,Verleend
29,Stoelenmatterstraat 292334GK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverplaatsen van een woonwagenP 02881,140518,12-03-2014,16-04-2014,Verleend
30,Stoelenmatterstraat 352334GK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverplaatsen van een woonwagenP 02881,140398,25-02-2014,22-04-2014,Verleend
31,Stoelenmatterstraat 372334GK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverplaatsen van een woonwagenP 02881,140547,17-03-2014,17-04-2014,Verleend
32,Ter Haarkade 6A2321VX,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurehet tijdelijk wijzigen van het gebruik van de voormalige ROC gebouwen en de sportvelden ten behoeve van het 40ste lustrum van sociëteit Minerva  Ter Haarkade  Boshuizerkade,132200,02-12-2013,16-04-2014,Verleend
33,Uilenhorst 12317ZS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenovatie woningen Uilenhorst 1 t/m 35S 04208,140780,16-04-2014,11-06-2014,Verleend
34,Utrechtse Jaagpad 56B2313LB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een fietsenstallingM 03932G0000,140793,09-04-2014,28-05-2014,Niet ontvankelijk
35,Vrouwenvaart ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van 214 bomen t.b.v. kadeverbetering van de Meerburgerwatering  oostzijde A4 tussen Vrouwenvaart en N11T 06218,140788,16-04-2014,08-07-2014,Verleend
0,Breestraat 622311CS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerestaureren wapenschildG 00082G0000,140657,31-03-2014,12-05-2014,Verleend
1,Breestraat 1062311CW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureschilderen van de gevel,140751,10-04-2014,23-05-2014,Niet ontvankelijk
2,C Kok-van Alphenstr 382331NK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een dakkapel aan de voorzijdeW 05293G0000,140754,09-04-2014,20-05-2014,Niet ontvankelijk
3,Cesar Franckstraat 2324JM,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduretijdelijk plaatsen van een onderwijsgebouwO 04916,132301,19-12-2013,10-04-2014,Verleend
4,Donkersteeg 92312HA,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen gevelreclame,140764,14-04-2014,03-06-2014,Verleend
5,Garenmarkt 2311PG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurebouwen van 4 woningenE 01955,140740,11-04-2014,22-10-2014,Verleend
6,Glenn Millerstraat 242324LM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurehet realiseren van een dakopbouw en dakterrasO 04147G0000,140096,17-01-2014,10-04-2014,Verleend
7,Haagse Schouwweg 102332KG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbreiden entree  renoveren gevels en aanpassen verdiepingsvloerX 04073G0000,132289,17-12-2013,15-04-2014,Verleend
8,Hannie Schaftstraat 82331GS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een dakkapel aan de voorzijdeW 06138G0000,140350,17-02-2014,15-04-2014,Verleend
9,Hartmanstraat 302313NB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een dakkapel aan de voorzijdeQ 01633G0000,140386,24-02-2014,11-04-2014,Verleend
10,Haven 582312ML,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduresplitsen van een woning naar 6 zelfstandige woningen en het maken van een uitbouw op de 1e verdiepingC 01232G0000,140716,08-04-2014,01-08-2014,Weigering
11,Havikspad ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenoveren gemaal  plaatsen hekwerk en wijzigen van de bestaande in- en uitritS 05381,140024,06-01-2014,14-04-2014,Verleend
12,Hoge Morsweg 1102332HN,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduresloop van de woning en bouw nieuwe woningX 01201G0000,131976,17-02-2014,14-04-2014,Verleend
13,Hooigracht 942312KX,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbreiden woongebouwI 03288G0000,140033,07-01-2014,09-04-2014,Verleend
14,Kaiserstraat 252311GN,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurewijzigen van de reclame,140761,14-04-2014,12-06-2014,Verleend
15,Kanaalpark 1452321JV,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurekappen van 57 bomen,140406,26-02-2014,15-04-2014,Verleend
16,Kanaalweg 2313DS,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurevernieuwen van de uitrit en het toevoegen van een inritO 04442,140760,14-04-2014,29-04-2014,Vervallen
17,Kooilaan 2315ED,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van entreepilasters en keermuren ten behoeve van de herinrichting van het KooiparkK 05595,132243,10-12-2013,15-04-2014,Verleend
18,Kort Rapenburg 22311GC,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureuitbreiding van de horecagelegenheid  Kort Rapenburg 2-4G 01594G0000,132332,24-12-2013,15-04-2014,Verleend
19,Lammenschansweg 2313DH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een warmte opwekkingsinstallatie (ondergrondse installatie)O 04442,140763,14-04-2014,27-05-2014,Verleend
20,Lavendeltuin 52317NB,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een dakuitbouw met nokverhogingS 04506G0000,140315,12-02-2014,09-04-2014,Verleend
21,Leidse Hout ,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduretijdelijk gebruik als evenemententerrein  inclusief op en afbouw van 14 tot 24 juli 2014  (Werfpop)P 03240,140767,15-04-2014,14-07-2014,Verleend
22,Lorentzkade 15B2313GB,Omgevingsvergunning Omgevingsvergunning Uitgebreide Procedurebrandveilig gebruik Lorentzkade 15bM 07128G0000,132082,11-11-2013,16-06-2014,Verleend
23,Milanenhorst 1612317CJ,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenovatie van de woningen  Milanenhorst 161 t/m 191S 04211,140758,14-04-2014,06-06-2014,Verleend
24,Morspoortbrug ,Omgevingsvergunning Omgevingsvergunning Reguliere Proceduregroot onderhoudB 03518,140550,17-03-2014,02-07-2014,Verleend
25,Nieuwe Rijn 422312JG,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen markies,140711,08-04-2014,08-07-2014,Verleend
26,Nieuwsteeg 92311RW,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van markiezen,140756,14-04-2014,25-06-2014,Verleend
27,Oude Singel 242312RA,Omgevingsvergunning Omgevingsvergunning Reguliere ProcedureVerbouw woning naar een boven- en onderwoning en renoveren pandB 03561G0000,140728,09-04-2014,20-10-2014,Verleend
28,Oude Vest 852312XT,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureverbouwen van café naar woning,140727,09-04-2014,26-06-2014,Verleend
29,P.J. Blokstraat 102313ET,Omgevingsvergunning Omgevingsvergunning Reguliere Procedureplaatsen van een dakraamM 05073G0000,140133,24-01-2014,15-04-2014,Verleend
30,Rijnsburgerweg 732334BH,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurehet vervangen van de kozijnen in de voorgevel,140244,05-02-2014,09-04-2014,Verleend
31,Sperwerhorst 12317ZK,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenovatie van de woningen  Sperwerhorst 1 t/m 35S 04204,140753,14-04-2014,06-06-2014,Verleend
32,Sperwerhorst 412317ZM,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenovatie van de woningen  Sperwerhorst 41 t/m 75S 04205,140750,14-04-2014,15-05-2014,Verleend
33,Sperwerhorst 812317ZP,Omgevingsvergunning Omgevingsvergunning Reguliere Procedurerenovatie van de woningen  Sperwerhorst 81 t/m 115S 04206,140752,14-04-2014,15-05-2014,Verleend
